А-01	НУ-1010/0/10	Виток=1024
02.08.2024
-----------------------------
00.00.05	290.7	01.1
00.00.09	292.8	02.9
00.00.13	294.9	03.9
00.00.17	297.0	04.9
00.00.21	299.1	05.9
00.00.25	301.2	06.9
00.00.29	303.3	07.9
00.00.33	305.4	08.9
00.00.37	307.5	09.9
00.00.41	309.6	10.9
00.00.45	311.7	11.9
00.00.49	313.8	12.9
00.00.53	315.9	13.9
00.00.57	318.0	14.9
00.01.01	320.1	15.9
00.01.05	322.2	16.9
00.01.09	324.3	17.9
00.01.13	326.4	18.9
00.01.17	328.5	19.9
00.01.21	330.6	20.9
00.01.25	332.7	21.9
00.01.29	334.8	22.9
00.01.33	336.9	23.9
00.01.37	339.0	24.9
00.01.41	341.1	25.9
00.01.45	343.2	26.9
00.01.49	345.3	27.9
00.01.53	347.4	28.9
00.01.57	349.5	29.9
00.02.01	351.6	30.9
00.02.05	353.7	31.9
00.02.09	355.8	32.9
00.02.13	357.9	33.9
00.02.17	000.0	34.9
00.02.21	002.1	35.9
00.02.25	004.2	36.9
00.02.29	006.3	37.9
00.02.33	008.4	38.9
00.02.37	010.5	39.9
00.02.41	012.6	40.9
00.02.45	014.7	41.9
00.02.49	016.8	42.9
00.02.53	018.9	43.9
00.02.57	021.0	44.9
00.03.01	023.1	45.9
00.03.05	025.2	46.9
00.03.09	027.3	47.9
00.03.13	029.4	48.9
00.03.17	031.5	49.9
00.03.21	033.6	50.9
00.03.25	035.7	51.9
00.03.29	037.8	52.9
00.03.33	039.9	53.9
00.03.37	042.0	54.9
00.03.41	044.1	55.9
00.03.45	046.2	56.9
00.03.49	048.3	57.9
00.03.53	050.4	58.9
00.03.57	052.5	59.9
00.04.01	054.6	60.9
00.04.05	056.7	61.9
00.04.09	058.8	62.9
00.04.13	060.9	63.9
00.04.17	063.0	64.9
00.04.21	065.1	65.9
00.04.25	067.2	66.9
00.04.29	069.3	67.9
00.04.33	071.4	68.9
00.04.37	073.5	69.9
00.04.41	075.6	70.9
00.04.45	077.7	71.9
00.04.49	079.8	72.9
00.04.53	081.9	73.9
00.04.57	084.0	74.9
00.05.01	086.1	75.9
00.05.05	088.2	76.9
00.05.09	090.3	77.9
00.05.13	092.4	78.9
00.05.17	094.5	79.9
00.05.21	096.6	80.9
00.05.25	098.7	81.9
00.05.29	100.8	82.9
00.05.33	102.9	83.9
00.05.37	105.0	84.9
00.05.41	107.1	85.9
00.05.45	109.2	86.9
00.05.49	111.3	87.9
00.05.53	113.4	88.9
00.05.57	115.5	89.9
00.06.01	117.6	89.0
00.06.05	119.7	88.1
00.06.09	121.8	87.2
00.06.13	123.9	86.3
00.06.17	126.0	85.4
00.06.21	128.1	84.5
00.06.25	130.2	83.6
00.06.29	132.3	82.7
00.06.33	134.4	81.8
00.06.37	136.5	80.9
00.06.41	138.6	80.0
00.06.45	140.7	79.1
00.06.49	142.8	78.2
00.06.53	144.9	77.3
00.06.57	147.0	76.4
00.07.01	149.1	75.5
00.07.05	151.2	74.6
00.07.09	153.3	73.7
00.07.13	155.4	72.8
00.07.17	157.5	71.9
00.07.21	159.6	71.0
00.07.25	161.7	70.1
00.07.29	163.8	69.2
00.07.33	165.9	68.3
00.07.37	168.0	67.4
00.07.41	170.1	66.5
00.07.45	172.2	65.6
00.07.49	174.3	64.7
00.07.53	176.4	63.8
00.07.57	178.5	62.9
00.08.01	180.6	62.0
00.08.05	182.7	61.1
00.08.09	184.8	60.2
00.08.13	186.9	59.3
00.08.17	189.0	58.4
00.08.21	191.1	57.5
00.08.25	193.2	56.6
00.08.29	195.3	55.7
00.08.33	197.4	54.8
00.08.37	199.5	53.9
00.08.41	201.6	53.0
00.08.45	203.7	52.1
00.08.49	205.8	51.2
00.08.53	207.9	50.3
00.08.57	210.0	49.4
00.09.01	212.1	48.5
00.09.05	214.2	47.6
00.09.09	216.3	46.7
00.09.13	218.4	45.8
00.09.17	220.5	44.9
00.09.21	222.6	44.0
00.09.25	224.7	43.1
00.09.29	226.8	42.2
00.09.33	228.9	41.3

-----------------------------
